daily,dynamic_path_appkey,dynamic_path_page_name,dynamic_path,unique_event_count,total_event_count,page_name
2022-09-15,in6nDWil0UyVvQrY629sMg,AppAudienceStudioDetailsInsightsUserMovementPage,/RbrOZIdrT0iSWBdroQPd5g/customer-data/in6nDWil0UyVvQrY629sMg/audience-studio/H8k2Z9gIMUe63ybYBHEKhg/insight/user-movement,1,1,2. 유저동선
2022-09-15,in6nDWil0UyVvQrY629sMg,AppAudienceStudioDetailsInsightsUserMovementPage,/RbrOZIdrT0iSWBdroQPd5g/customer-data/in6nDWil0UyVvQrY629sMg/audience-studio/ITQpiySfnkiUfHNpZCbyHQ/insight/user-movement,1,2,2. 유저동선
2022-09-15,4otkaNsrHEqbLa5baMHTvw,AppAudienceStudioDetailsInsightsAudienceProfilePage,/zE25MUBRwUWQkvjzg0aw8Q/customer-data/4otkaNsrHEqbLa5baMHTvw/audience-studio/mo7E990sj0GoPnmI7ga2vA/insight/audience-profile,1,3,1. 오디언스 프로파일
2022-09-15,in6nDWil0UyVvQrY629sMg,AppAudienceStudioDetailsInsightsAudienceProfilePage,/RbrOZIdrT0iSWBdroQPd5g/customer-data/in6nDWil0UyVvQrY629sMg/audience-studio/bajZDWIjA0itzDMV8cWepQ/insight/audience-profile,4,4,1. 오디언스 프로파일
2022-09-15,4otkaNsrHEqbLa5baMHTvw,AppAudienceStudioDetailsInsightsAudienceProfilePage,/zE25MUBRwUWQkvjzg0aw8Q/customer-data/4otkaNsrHEqbLa5baMHTvw/audience-studio/YDJZ5McUw0CMBbwEiWNreA/insight/audience-profile,1,3,1. 오디언스 프로파일
2022-09-15,in6nDWil0UyVvQrY629sMg,AppAudienceStudioDetailsInsightsAudienceProfilePage,/RbrOZIdrT0iSWBdroQPd5g/customer-data/in6nDWil0UyVvQrY629sMg/audience-studio/ITQpiySfnkiUfHNpZCbyHQ/insight/audience-profile,1,2,1. 오디언스 프로파일
2022-09-15,4otkaNsrHEqbLa5baMHTvw,AppAudienceStudioDetailsInsightsUserMovementPage,/zE25MUBRwUWQkvjzg0aw8Q/customer-data/4otkaNsrHEqbLa5baMHTvw/audience-studio/mo7E990sj0GoPnmI7ga2vA/insight/user-movement,1,1,2. 유저동선
2022-09-15,in6nDWil0UyVvQrY629sMg,AppAudienceStudioDetailsInsightsAudienceProfilePage,/RbrOZIdrT0iSWBdroQPd5g/customer-data/in6nDWil0UyVvQrY629sMg/audience-studio/MnxtRGNkCEyXeC3o5hZjuQ/insight/audience-profile,1,1,1. 오디언스 프로파일
2022-09-15,4otkaNsrHEqbLa5baMHTvw,AppAudienceStudioDetailsInsightsAudienceProfilePage,/zE25MUBRwUWQkvjzg0aw8Q/customer-data/4otkaNsrHEqbLa5baMHTvw/audience-studio/5mzXWegO70aZ2C9WcmK30A/insight/audience-profile,1,3,1. 오디언스 프로파일
2022-09-14,30ctm8mzPk6fhdeXkvZsDw,AppAudienceStudioDetailsInsightsUserMovementPage,/hPmw1NjqckSaa1LJPpu7WQ/customer-data/30ctm8mzPk6fhdeXkvZsDw/audience-studio/3q5K2yNz5EqMeZnDUrG6OA/insight/user-movement,1,1,2. 유저동선
